Spezies;Herzschlag;Gewicht
Giraffe;66;1500000
Panther;60;28000
Elefant;25;4500000
Maus;500;19
Mensch;75;62000
Wal;15;50000000
Seeelefant;60;2000000
Meerschweinchen;260;900
Igel;300;780
Schwein;70;200000
Löwe;40;170000
Schaf;70;110000
Wanderratte;310;400
Pferd;38;650000
Fuchs;100;6000
